Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Contacts Under Follow-up,HCW Contacts Under Follow-up,Total Contacts Under Follow-Up,Cumulative Contacts Under Follow-up,Total Suspected Cases,,
22-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Bauchi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Bayelsa,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Cross River,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Delta,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Ebonyi,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Ekiti,4,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,FCT,39,4,4,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Kano,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Katsina,2,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Lagos,76,13,22,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Nassarawa,5,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,2,,,,,,,
22-Mar-20,Ondo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Oyo,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Plateau,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Rivers,6,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
22-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c596d7ff619e86a5e2bb42a4b726c040.pdf,0,0,,,,,,,
